Disease,Symptoms,Severity,Recommended_Treatment,Precautions,Description
Bronchitis,"mucus production, shortness of breath, fatigue",Moderate,"Rest, fluids, expectorants, bronchodilators if wheezing, avoid smoke and irritants, antibiotics if bacterial","Avoid smoking and secondhand smoke, use humidifier, stay hydrated, avoid cold air, flu vaccination","Inflammation of the bronchial tubes causing cough and mucus production, acute or chronic."
Appendicitis,"abdominal bloating, nausea, vomiting, loss of appetite",Moderate,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
Arthritis,"fever, intense reduced range of motion, severe warmth around joints, extreme joint pain, joint swelling",Severe,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Tuberculosis,"fatigue, persistent cough, extreme loss of appetite",Severe,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Anxiety Disorder,"excessive worry, muscle tension, difficulty concentrating, occasional restlessness, irritability, panic attacks, mild rapid heartbeat",Mild,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Diabetes,"slow healing wounds, excessive thirst, unexplained weight loss, blurred vision, frequent urination",Moderate,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Malaria,"extreme muscle pain, nausea, worsening chills",Severe,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Typhoid,"slight headache, sustained high fever, loss of appetite, mild weakness",Mild,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Pneumonia,"severe productive cough, extreme high fever, chest pain, shortness of breath, confusion",Severe,"Antibiotics (if bacterial), oxygen therapy, rest, fluids, chest physiotherapy, hospitalization if severe","Pneumococcal vaccination, flu vaccination, hand hygiene, avoid smoking, strengthen immune system","Infection causing inflammation in the air sacs of the lungs, which may fill with fluid or pus."
Arthritis,"joint pain, joint stiffness, morning stiffness, slight joint swelling, mild fever, mild reduced range of motion, occasional warmth around joints",Mild,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Arthritis,"joint stiffness, fatigue, joint pain",Moderate,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Hepatitis C,"extreme fatigue, fluid buildup in abdomen, easy bruising, bleeding easily, jaundice, spider-like blood vessels, confusion",Severe,"Direct-acting antivirals (sofosbuvir, glecaprevir), 8-12 week treatment, regular liver monitoring","Avoid sharing needles, safe sex practices, blood screening, no vaccine available, avoid alcohol","Viral infection causing liver inflammation, often chronic, now highly curable with modern antivirals."
Gastroenteritis,"mild fever, dehydration, headache, stomach cramps, vomiting",Moderate,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Common Cold,"congestion, runny nose, mild headache, cough, slight sore throat",Mild,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
Gallstones,"jaundice, vomiting, clay-colored stools",Severe,"Cholecystectomy (gallbladder removal), ursodiol to dissolve stones, pain management, low-fat diet","Low-fat diet, maintain healthy weight, avoid rapid weight loss, regular exercise, limit cholesterol","Hardened deposits in the gallbladder, can block bile ducts and cause severe pain and complications."
Pneumonia,"chest pain, productive cough, rapid breathing, chills, mild confusion, fatigue, shortness of breath",Mild,"Antibiotics (if bacterial), oxygen therapy, rest, fluids, chest physiotherapy, hospitalization if severe","Pneumococcal vaccination, flu vaccination, hand hygiene, avoid smoking, strengthen immune system","Infection causing inflammation in the air sacs of the lungs, which may fill with fluid or pus."
Hyperthyroidism,"worsening diarrhea, difficulty sleeping, severe bulging eyes",Severe,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Osteoporosis,"severe decreased mobility, back pain, shortness of breath, persistent loss of height",Severe,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Common Cold,"cough, mild fever, sore throat, mild runny nose",Mild,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
Food Poisoning,"stomach cramps, persistent dehydration, severe headache, severe diarrhea",Severe,"Rest, oral rehydration, avoid solid food initially, gradual return to bland diet, seek care if severe","Proper food handling, cook meat thoroughly, refrigerate promptly, avoid cross-contamination, check expiry dates","Illness caused by eating contaminated food or drink, symptoms typically appear within hours to days."
Hypertension,"vision problems, nosebleeds, shortness of breath, chest pain, flushing, dizziness",Moderate,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Tuberculosis,"severe weight loss, intense chest pain, fever, persistent cough, severe loss of appetite, fatigue, worsening blood in sputum",Severe,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Pneumonia,"chest pain, high fever, confusion",Moderate,"Antibiotics (if bacterial), oxygen therapy, rest, fluids, chest physiotherapy, hospitalization if severe","Pneumococcal vaccination, flu vaccination, hand hygiene, avoid smoking, strengthen immune system","Infection causing inflammation in the air sacs of the lungs, which may fill with fluid or pus."
